ID,Country,Education,First Contact,Last Contact,Status,Stage,First Call,Signed up for a demo,Filled in customer survey,Did sign up to the platform,Account Manager assigned,Subscribed
430,USA,B11,2021-06-11,2021-06-11,1st message,,,,,,,
431,USA,B11,2021-06-11,2021-08-24,3rd message,,,,,,,
432,USA,B11,2021-06-11,2021-06-11,1st message,,,,,,,
433,USA,B11,2021-06-11,2021-06-11,1st message,,,,,,,
434,USA,B11,2021-06-11,2021-06-11,1st message,not interested,,,,,,
435,USA,B11,2021-06-11,2021-06-11,1st message,,,,,,,
436,USA,B11,2021-06-11,2021-06-11,1st message,,,,,,,
437,USA,B11,2021-06-11,2021-06-11,1st message,,,,,,,
438,USA,B11,2021-06-11,2021-06-11,1st message,,,,,,,
439,USA,B11,2021-06-11,2021-06-11,1st message,,,,,,,
440,USA,B11,2021-06-11,2021-06-11,1st message,,,,,,,
441,USA,B11,2021-06-11,2021-08-24,3rd message,,,,,,,
442,USA,B11,2021-06-11,2021-08-24,3rd message,,,,,,,
443,USA,B11,2021-06-11,2021-06-11,1st message,,,,,,,
444,USA,B11,2021-06-11,2021-06-11,1st message,,,,,,,
445,USA,B11,2021-06-11,2021-06-11,1st message,,,,,,,
446,USA,B11,2021-06-11,2021-06-11,1st message,,,,,,,
447,USA,B11,2021-06-11,2021-06-11,1st message,,,,,,,
448,,,2021-06-09,2021-06-09,3rd message,did not join the call,2021-06-10,,,No,,
449,,,2021-06-09,2021-06-09,3rd message,interested,2021-06-09,,,No,,
452,USA,B9,2021-06-09,2021-06-09,1st message,not interested,,,,,,
456,USA,B27,2021-06-09,2021-06-09,1st message,,,,,,,
457,USA,B27,2021-06-09,2022-03-18,1st message,,2021-06-21,,,2021-06-21,,
458,Canada,B27,2021-06-09,2021-06-09,1st message,,,,,,,
459,USA,B27,2021-06-09,2021-06-10,2nd message,not interested,,,,,,
460,USA,B27,2021-06-05,2021-06-05,3rd message,interested,2021-06-07,,,2021-06-07,,
461,USA,B27,2021-06-06,2021-06-06,1st message,,,,,,,
466,Canada,B1,2021-06-05,2021-06-05,1st message,,,,,,,
469,Italy,,2021-06-05,2021-06-05,1st message,,,,,,,
470,USA,B27,2021-06-05,2021-06-05,1st message,,,,,,,
471,USA,,2021-06-05,2021-06-05,1st message,,,,,,,
472,USA,B27,2021-06-05,2021-06-05,2nd message,not interested,,,,,,
473,USA,,2021-06-05,2021-06-05,1st message,,,,,,,
474,USA,,2021-06-05,2021-06-05,1st message,,,,,,,
475,USA,,2021-06-05,2021-06-05,1st message,,,,,,,
476,USA,,2021-06-05,2021-06-05,1st message,,,,,,,
477,USA,,2021-06-05,2021-06-05,1st message,,,,,,,
479,USA,,2021-06-05,2021-06-05,1st message,,,,,,,
480,USA,,2021-06-05,2021-06-05,1st message,,,,,,,
485,USA,,2021-06-04,2021-06-04,1st message,,,,,,,
488,Canada,,2021-06-03,2021-06-03,1st message,,,,,,,
489,USA,B27,2021-06-03,2021-06-03,1st message,not interested,,,,,,
490,USA,B27,2021-06-03,2021-06-03,1st message,,,,,,,
491,USA,B27,2021-06-03,2021-06-03,1st message,,,,,,,
492,USA,,2021-06-03,2021-06-03,1st message,,,,,,,
493,USA,,2021-06-03,2021-06-03,1st message,,,,,,,
494,,,2021-06-04,2021-06-04,3rd message,,2021-02-04,,,No,,
495,USA,B10,2021-06-01,2021-06-01,1st message,,,,,,,
496,USA,B10,2021-06-01,2022-03-14,2nd message,,,,,,,
497,USA,B10,2021-06-01,2021-06-01,1st message,,,,,,,
498,USA,B10,2021-06-01,2021-06-01,1st message,,,,,,,
499,USA,B10,2021-06-01,2021-06-01,1st message,,,,,,,
500,USA,B10,2021-06-01,2021-06-01,1st message,,,,,,,
501,USA,B10,2021-06-01,2021-06-01,1st message,,,,,,,
502,USA,B10,2021-06-01,2021-06-01,1st message,,,,,,,
503,USA,B10,2021-06-01,2021-08-24,3rd message,,,,,,,
504,USA,B10,2021-05-31,2021-05-31,1st message,,,,,,,
505,USA,B10,2021-05-31,2021-05-31,1st message,,,,,,,
506,USA,B10,2021-05-31,2021-05-31,1st message,,,,,,,
507,USA,B10,2021-05-31,2021-05-31,1st message,,,,,,,
508,USA,B10,2021-05-31,2021-05-31,1st message,,,,,,,
509,USA,B10,2021-05-31,2021-05-31,1st message,,,,,,,
510,USA,B10,2021-05-31,2021-05-31,1st message,,,,,,,
511,USA,B10,2021-05-31,2021-05-31,1st message,,,,,,,
512,USA,B10,2021-05-30,2021-05-30,1st message,,,,,,,
513,USA,B10,2021-05-30,2021-05-30,1st message,,,,,,,
514,USA,B10,2021-05-30,2021-05-30,1st message,,,,,,,
515,USA,B10,2021-05-30,2021-05-30,1st message,,,,,,,
516,USA,B10,2021-05-30,2021-05-30,1st message,,,,,,,
517,USA,B10,2021-05-30,2021-05-30,1st message,,,,,,,
518,USA,B10,2021-05-30,2021-05-30,1st message,,,,,,,
519,USA,B10,2021-05-30,2021-05-30,1st message,,,,,,,
520,USA,B10,2021-05-30,2021-05-30,1st message,,,,,,,
521,USA,B10,2021-05-30,2021-05-30,1st message,,,,,,,
522,USA,B10,2021-05-30,2021-05-30,1st message,,,,,,,
523,USA,B10,2021-05-30,2021-05-30,1st message,,,,,,,
524,USA,B10,2021-05-30,2021-05-30,1st message,,,,,,,
525,USA,B10,2021-05-30,2021-05-30,1st message,,,,,,,
526,USA,B10,2021-05-30,2021-05-30,1st message,,,,,,,
527,USA,B10,2021-05-30,2021-05-30,1st message,,,,,,,
528,USA,B10,2021-05-30,2021-05-30,1st message,,,,,,,
529,USA,B10,2021-05-30,2021-05-30,1st message,,,,,,,
530,USA,B10,2021-05-30,2021-05-30,1st message,,,,,,,
531,USA,B10,2021-05-30,2021-05-30,1st message,,,,,,,
532,USA,B10,2021-05-30,2021-05-30,1st message,,,,,,,
533,USA,B10,2021-05-30,2021-05-30,1st message,,,,,,,
534,USA,B10,2021-05-30,2021-05-30,2nd message,not interested,,,,,,
535,USA,B10,2021-05-30,2021-05-30,1st message,,,,,,,
536,USA,B10,2021-05-30,2021-05-30,1st message,,,,,,,
537,USA,B10,2021-05-30,2021-08-24,3rd message,,,,,,,
538,USA,B10,2021-05-30,2021-05-30,1st message,,,,,,,
539,USA,B10,2021-05-30,2021-05-30,1st message,,,,,,,
540,USA,B27,2021-05-30,2021-05-30,1st message,,,,,,,
541,USA,B27,2021-05-26,2021-05-26,1st message,not interested,,,,,,
542,USA,B27,2021-05-26,2022-02-21,1st message,,,,,,,
543,USA,B27,2021-05-26,2021-05-26,1st message,,,,,,,
544,USA,B27,2021-05-26,2021-05-26,1st message,,,,,,,
545,USA,B27,2021-05-26,2021-05-26,1st message,,,,,,,
546,USA,B27,2021-05-26,2021-05-26,1st message,,,,,,,
547,USA,B27,2021-05-26,2021-05-26,1st message,,,,,,,
548,USA,B27,2021-05-26,2021-05-26,1st message,,,,,,,
549,USA,B27,2021-05-26,2021-05-26,1st message,,,,,,,
550,USA,B27,2021-05-26,2021-05-26,1st message,,,,,,,
551,USA,B27,2021-05-26,2021-05-26,1st message,,,,,,,
552,USA,B27,2021-05-26,2021-05-26,1st message,,,,,,,
553,USA,,2021-05-25,2021-05-25,1st message,not interested,,,,,,
554,USA,,2021-05-25,2021-05-25,3rd message,,,,,,,
555,USA,,2021-05-25,2021-05-25,1st message,,,,,,,
556,USA,,2021-05-25,2021-05-25,1st message,,,,,,,
557,USA,,2021-05-25,2021-05-25,1st message,,,,,,,
558,Canada,,2021-05-25,2021-05-25,1st message,,,,,,,
559,Canada,,2021-05-25,2021-05-25,1st message,,,,,,,
560,Canada,,2021-05-25,2021-05-25,1st message,,,,,,,
561,USA,,2021-05-25,2021-05-25,1st message,,,,,,,
562,USA,,2021-05-25,2021-05-25,1st message,,,,,,,
563,USA,,2021-05-25,2021-05-25,1st message,,,,,,,
564,USA,,2021-05-25,2021-05-25,1st message,,,,,,,
565,USA,,2021-05-25,2021-05-25,1st message,,,,,,,
566,USA,,2021-05-25,2021-05-25,1st message,,,,,,,
567,USA,,2021-05-25,2021-05-25,1st message,,,,,,,
568,USA,,2021-05-25,2021-05-25,1st message,,,,,,,
569,USA,,2021-05-25,2021-05-25,1st message,,,,,,,
570,USA,,2021-05-25,2021-05-25,1st message,,,,,,,
571,USA,,2021-05-25,2021-05-25,1st message,,,,,,,
572,USA,,2021-05-25,2021-05-25,1st message,,,,,,,
573,USA,,2021-05-25,2021-05-25,1st message,,,,,,,
574,USA,,2021-05-25,2021-05-25,3rd message,not interested,,,,,,
575,Canada,,2021-05-24,2021-05-24,1st message,,,,,,,
576,USA,,2021-05-24,2021-05-24,1st message,,,,,,,
577,USA,,2021-05-24,2021-05-24,1st message,,,,,,,
578,Canada,,2021-05-24,2021-05-24,1st message,,,,,,,
579,USA,,2021-05-24,2021-05-24,1st message,,,,,,,
580,USA,,2021-05-24,2021-05-24,1st message,,,,,,,
581,USA,,2021-05-24,2021-05-24,1st message,,,,,,,
582,USA,,2021-05-24,2021-05-24,1st message,,,,,,,
583,USA,,2021-05-24,2021-05-24,1st message,,,,,,,
584,USA,,2021-05-24,2021-05-24,1st message,,,,,,,
585,USA,,2021-05-24,2021-05-24,1st message,,,,,,,
586,USA,,2021-05-24,2021-05-24,3rd message,,,,,,,
587,USA,,2021-05-24,2021-05-24,1st message,,,,,,,
588,USA,,2021-05-24,2021-05-24,1st message,,,,,,,
589,USA,,2021-05-24,2021-05-24,1st message,,,,,,,
590,USA,,2021-05-24,2021-05-24,1st message,,,,,,,
591,USA,,2021-05-24,2021-05-24,1st message,,,,,,,
592,USA,,2021-05-24,2021-05-24,1st message,,,,,,,
593,USA,,2021-05-24,2021-05-24,1st message,,,,,,,
594,USA,,2021-05-24,2021-05-24,1st message,,,,,,,
595,USA,,2021-05-24,2021-05-24,1st message,,,,,,,
596,USA,,2021-05-24,2021-05-24,1st message,,,,,,,
597,USA,,2021-05-24,2021-05-24,1st message,,,,,,,
598,USA,,2021-05-24,2021-05-24,1st message,,,,,,,
599,Canada,,2021-05-24,2021-05-24,1st message,,,,,,,
600,USA,,2021-05-24,2021-05-24,1st message,,,,,,,
601,Canada,,2021-05-24,2021-05-24,1st message,,,,,,,
602,Canada,,2021-05-24,2021-05-24,1st message,,,,,,,
603,USA,,2021-05-24,2021-05-24,1st message,,,,,,,
604,Canada,,2021-05-24,2021-05-24,1st message,,,,,,,
605,USA,,2021-05-24,2021-05-24,1st message,,,,,,,
606,Canada,,2021-05-24,2021-05-24,1st message,,,,,,,
607,USA,,2021-05-24,2021-05-24,1st message,,,,,,,
608,USA,B27,2021-05-24,2021-05-24,1st message,,,,,,,
609,USA,B27,2021-05-24,2021-05-24,1st message,,,,,,,
610,USA,B27,2021-05-24,2021-05-24,1st message,,,,,,,
611,USA,B27,2021-05-24,2021-08-24,3rd message,,,,,,,
612,USA,B27,2021-05-24,2021-05-24,1st message,,,,,,,
613,USA,B27,2021-05-24,2021-05-24,1st message,,,,,,,
614,USA,B27,2021-05-24,2021-05-24,1st message,,,,,,,
615,USA,B27,2021-05-24,2021-05-24,1st message,,,,,,,
616,USA,B27,2021-05-24,2021-05-24,1st message,,,,,,,
617,USA,B27,2021-05-24,2021-05-24,1st message,,,,,,,
618,USA,B27,2021-05-24,2021-05-24,1st message,,,,,,,
619,USA,B27,2021-05-24,2021-05-24,1st message,,,,,,,
620,USA,B27,2021-05-24,2021-05-24,1st message,,,,,,,
621,USA,B27,2021-05-24,2021-05-24,1st message,,,,,,,
622,USA,B27,2021-05-24,2021-05-24,1st message,,,,,,,
623,USA,B27,2021-05-24,2021-05-24,1st message,,,,,,,
624,USA,B27,2021-05-24,2021-05-24,1st message,,,,,,,
625,USA,B27,2021-05-24,2021-05-24,1st message,,,,,,,
626,USA,B27,2021-05-24,2021-08-24,3rd message,,,,,,,
627,USA,B27,2021-05-24,2021-05-24,1st message,,,,,,,
628,USA,B27,2021-05-24,2021-05-24,1st message,,,,,,,
629,USA,B27,2021-05-24,2021-05-24,1st message,,,,,,,
630,USA,B27,2021-05-24,2021-05-24,1st message,,,,,,,
631,USA,B27,2021-05-24,2021-08-24,3rd message,not interested,2021-08-25,,,No,,
632,USA,B27,2021-05-24,2021-08-24,3rd message,,,,,,,
633,USA,B27,2021-05-24,2021-05-24,1st message,,,,,,,
634,USA,B27,2021-05-24,2021-05-24,1st message,,,,,,,
635,USA,B27,2021-05-24,2021-05-24,1st message,,,,,,,
636,USA,B27,2021-05-24,2021-05-24,1st message,,,,,,,
637,USA,B27,2021-05-24,2021-05-24,1st message,,,,,,,
638,USA,B27,2021-05-24,2021-05-24,1st message,,,,,,,
639,USA,B27,2021-05-24,2021-05-24,1st message,,,,,,,
640,USA,B27,2021-05-24,2021-06-01,2nd message,not interested,,,,,,
641,USA,B27,2021-05-24,2021-05-24,1st message,not interested,,,,,,
642,Canada,B27,2021-05-24,2021-05-24,1st message,,,,,,,
643,Canada,B27,2021-05-24,2021-05-24,1st message,,,,,,,
644,,,,,3rd message,subscribed already,2021-05-18,,,2021-05-09,2021-06-01,2021-05-23
645,USA,B27,2021-05-23,2021-09-16,1st message,,,,,,,
646,USA,B27,2021-05-23,2021-09-16,1st message,,,,,,,
647,USA,B27,2021-05-23,2021-05-23,1st message,not interested,,,,,,
648,USA,B27,2021-05-23,2021-09-16,1st message,,,,,,,
649,USA,B27,2021-05-23,2021-05-23,1st message,not interested,,,,,,
650,USA,B27,2021-05-23,2021-09-16,1st message,,,,,,,
651,USA,B27,2021-05-23,2021-09-16,1st message,,,,,,,
652,USA,B27,2021-05-23,2021-09-16,1st message,,,,,,,
653,USA,B27,2021-05-23,2021-12-11,1st message,,2021-06-01,,,2021-06-01,,
654,USA,B27,2021-05-23,2021-05-23,1st message,not interested,,,,,,
655,USA,B27,2021-05-23,2021-09-16,1st message,,,,,,,
656,USA,B27,2021-05-23,2021-09-16,1st message,,,,,,,
657,USA,B27,2021-05-23,2021-09-16,1st message,,,,,,,
658,USA,B27,2021-05-23,2021-05-23,1st message,not interested,,,,,,
659,USA,B27,2021-05-23,2021-09-16,1st message,,,,,,,
660,USA,B27,2021-05-23,2021-09-16,1st message,,,,,,,
661,USA,B27,2021-05-22,2021-09-14,1st message,,,,,,,
662,USA,B27,2021-05-22,2021-09-14,1st message,,,,,,,
663,USA,B27,2021-05-22,2021-09-14,1st message,,,,,,,
664,USA,B27,2021-05-22,2021-05-22,1st message,not interested,,,,,,
665,USA,B27,2021-05-22,2021-09-14,1st message,,,,,,,
666,USA,B27,2021-05-22,2021-09-14,1st message,,,,,,,
667,USA,B27,2021-05-22,2021-05-22,1st message,not interested,,,,,,
668,USA,B27,2021-05-22,2021-09-14,1st message,,,,,,,
669,USA,B27,2021-05-22,2021-09-14,1st message,,,,,,,
670,USA,B27,2021-05-22,2021-09-14,1st message,,,,,,,
671,USA,B27,2021-05-22,2021-05-22,1st message,not interested,,,,,,
672,USA,B27,2021-05-22,2021-05-22,1st message,not interested,,,,,,
673,USA,B27,2021-05-22,2021-05-22,1st message,not interested,,,,,,
674,USA,B27,2021-05-22,2021-09-14,1st message,,,,,,,
675,USA,B27,2021-05-22,2021-09-14,1st message,,,,,,,
676,USA,B27,2021-05-22,2021-09-14,1st message,not interested,,,,,,
677,USA,B27,2021-05-22,2021-05-22,1st message,not interested,,,,,,
678,USA,B27,2021-05-22,2021-09-14,1st message,,,,,,,
679,USA,B27,2021-05-22,2021-09-14,1st message,,,,,,,
680,USA,B27,2021-05-22,2021-05-22,1st message,not interested,,,,,,
681,USA,B27,2021-05-22,2021-09-14,1st message,,,,,,,
682,USA,B27,2021-05-22,2021-05-22,1st message,,,,,,,
683,USA,B27,,,1st message,not interested,,,,,,
684,USA,B10,2021-05-23,2021-05-23,1st message,,,,,,,
685,USA,B10,2021-05-23,2021-05-23,1st message,,,,,,,
686,USA,B10,2021-05-23,2021-08-24,3rd message,,,,,,,
687,USA,B10,2021-05-23,2021-05-23,1st message,,,,,,,
688,USA,B10,2021-05-23,2021-05-23,1st message,,,,,,,
689,USA,B10,2021-05-23,2021-05-23,1st message,,,,,,,
690,USA,B10,2021-05-23,2021-05-23,1st message,,,,,,,
691,USA,B10,2021-05-23,2021-05-23,1st message,,,,,,,
692,USA,B10,2021-05-23,2021-05-23,1st message,,,,,,,
693,USA,B10,2021-05-23,2021-05-23,1st message,,,,,,,
694,USA,B10,2021-05-23,2021-05-23,1st message,not interested,,,,,,
695,USA,B10,2021-05-23,2021-05-23,1st message,,,,,,,
696,USA,B10,2021-05-23,2021-05-23,1st message,,,,,,,
697,USA,B10,2021-05-23,2021-05-23,1st message,,,,,,,
698,USA,B10,2021-05-23,2021-05-23,1st message,,,,,,,
699,USA,B10,2021-05-23,2021-05-23,1st message,,,,,,,
700,USA,B10,2021-05-23,2021-05-23,1st message,,,,,,,
701,USA,B10,2021-05-23,2021-05-23,1st message,,,,,,,
702,USA,B10,2021-05-23,2021-05-23,1st message,,,,,,,
703,USA,B10,2021-05-19,2021-05-19,1st message,,,,,,,
704,USA,B10,2021-05-19,2021-05-19,1st message,,,,,,,
705,USA,B10,2021-05-19,2021-08-25,3rd message,not interested,,,,,,
706,Canada,B27,2021-05-18,2021-05-18,1st message,,,,,,,
707,USA,B27,2021-05-18,2021-05-18,2nd message,not interested,,,,,,
708,USA,B27,2021-05-18,2021-09-16,1st message,,,,,,,
709,USA,B27,2021-05-18,2021-05-18,1st message,,,,,,,
710,USA,B27,2021-05-18,2021-09-19,2nd message,,,,,,,
711,USA,B27,2021-05-18,2021-09-16,1st message,,,,,,,
712,USA,B27,2021-05-18,2021-05-18,1st message,not interested,,,,,,
713,Germany,B27,2021-05-18,2021-09-16,1st message,,,,,,,
714,USA,B27,2021-05-18,2021-09-16,1st message,,,,,,,
715,USA,,2021-11-01,2021-11-01,1st message,do not contact,,,,,,
716,USA,B27,2021-05-18,2021-09-16,1st message,,,,,,,
717,USA,B27,2021-05-18,2021-09-16,1st message,,,,,,,
718,USA,B27,2021-05-18,2021-09-16,1st message,,,,,,,
719,USA,B27,2021-05-18,2021-09-16,1st message,,,,,,,
720,USA,B27,2021-05-18,2021-09-16,1st message,,,,,,,
721,USA,B27,2021-05-18,2021-09-16,1st message,,,,,,,
722,Canada,B27,2021-05-18,2021-09-16,1st message,,,,,,,
723,USA,B27,2021-05-18,2021-09-16,1st message,,,,,,,
724,Canada,B27,2021-05-18,2021-09-16,1st message,,,,,,,
725,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
726,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
727,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
728,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
729,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
730,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
731,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
732,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
733,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
734,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
735,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
736,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
737,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
738,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
739,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
740,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
741,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
742,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
743,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
744,USA,B10,2021-05-18,2021-05-18,1st message,not interested,,,,,,
745,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
746,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
747,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
748,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
749,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
750,USA,B10,2021-05-18,2021-08-24,3rd message,,,,,,,
751,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
752,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
753,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
754,USA,B10,2021-05-18,2021-05-18,2nd message,not interested,,,,,,
755,USA,B10,2021-05-18,2021-05-18,2nd message,not interested,,,,,,
756,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
757,USA,B10,2021-05-18,2021-08-24,3rd message,,,,,,,
758,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
759,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
760,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
761,USA,B10,2021-05-18,2021-05-18,1st message,,,,,,,
762,USA,B10,2021-05-18,2021-05-18,2nd message,not interested,,,,,,
763,USA,B10,2021-05-17,2021-05-17,1st message,,,,,,,
764,USA,B10,2021-05-17,2021-05-17,1st message,,,,,,,
765,USA,B10,2021-05-17,2021-05-17,1st message,,,,,,,
766,USA,B10,2021-05-17,2021-05-17,1st message,,,,,,,
767,USA,B10,2021-05-17,2021-05-17,1st message,,,,,,,
768,USA,B10,2021-05-17,2021-05-17,1st message,,,,,,,
769,USA,B10,2021-05-17,2021-05-17,1st message,,,,,,,
770,USA,B10,2021-05-17,2021-05-17,1st message,,,,,,,
771,USA,B10,2021-05-17,2021-05-17,1st message,,,,,,,
772,USA,B10,2021-05-17,2021-05-17,1st message,,,,,,,
773,USA,B10,2021-05-17,2021-05-17,1st message,,,,,,,
774,USA,B10,2021-05-17,2021-05-17,1st message,,,,,,,
775,USA,B10,2021-05-17,2021-05-17,1st message,,,,,2021-08-05,,
776,USA,B10,2021-05-17,2021-05-17,1st message,,,,,,,
777,USA,B10,2021-05-17,2021-05-17,1st message,,,,,,,
778,USA,B10,2021-05-17,2021-05-17,1st message,,,,,,,
779,USA,B10,2021-05-17,2021-05-17,1st message,,,,,,,
780,USA,B10,2021-05-17,2021-05-17,1st message,,,,,,,
781,USA,B10,2021-05-17,2021-05-17,1st message,,,,,,,
782,USA,B10,2021-05-17,2021-05-17,1st message,,,,,,,
783,USA,B27,2021-05-17,2021-05-17,1st message,,,,,,,
784,USA,B27,2021-05-17,2021-05-17,1st message,not interested,,,,,,
785,USA,B27,2021-05-17,2021-09-14,1st message,,,,,,,
786,USA,B27,2021-05-17,2021-05-17,1st message,not interested,,,,,,
787,USA,B27,2021-05-17,2021-05-17,1st message,not interested,,,,,,
788,USA,B27,2021-05-17,2021-09-14,1st message,,,,,,,
789,USA,B27,2021-05-17,2021-05-17,1st message,,,,,,,
790,USA,B27,2021-05-17,2021-05-17,2nd message,interested,2021-05-13,,,2021-05-13,,
791,USA,B27,2021-05-16,2021-05-16,1st message,,,,,,,
792,USA,B27,2021-05-16,2021-05-16,1st message,,,,,,,
793,USA,B27,2021-05-16,2021-05-16,1st message,,,,,,,
794,USA,B27,2021-05-16,2021-05-16,1st message,,,,,,,
795,USA,B9,2021-05-16,2021-05-16,1st message,,,,,,,
796,USA,B9,2021-05-16,2021-05-16,1st message,,,,,,,
797,USA,B27,2021-05-16,2021-05-16,1st message,,,,,,,
798,Canada,B30,2021-05-16,2021-05-16,1st message,,,,,,,
800,Canada,B1,2021-05-16,2021-05-16,1st message,,,,,,,
801,USA,B27,2021-05-16,2021-05-16,1st message,,,,,,,
802,USA,B27,2021-05-16,2021-05-16,1st message,,,,,,,
803,USA,B27,2021-05-16,2021-05-16,1st message,not interested,,,,,,
804,USA,B27,2021-05-16,2021-05-16,2nd message,not interested,,,,,,
805,USA,B27,2021-05-16,2021-05-16,1st message,,,,,,,
806,USA,B27,2021-05-16,2021-05-16,1st message,not interested,,,,,,
807,USA,B27,2021-05-16,2021-05-16,1st message,,,,,,,
808,Canada,B27,2021-05-16,2021-05-16,1st message,,,,,,,
809,Canada,B27,2021-05-16,2021-05-16,1st message,,,,,,,
810,USA,B27,2021-05-16,2021-05-18,2nd message,not interested,,,,,,
811,USA,B27,2021-05-16,2021-05-16,1st message,,,,,,,
812,USA,B27,2021-05-16,2022-03-18,1st message,,2021-09-08,,,,,
813,Canada,B27,2021-05-16,2021-05-16,1st message,,,,,,,
814,USA,B27,2021-05-16,2021-05-16,1st message,,,,,,,
815,Canada,B27,2021-05-16,2021-05-16,1st message,,,,,,,
816,Canada,B27,2021-05-16,2021-05-16,1st message,,,,,,,
817,USA,B27,2021-05-16,2021-05-16,1st message,,,,,,,
818,USA,B27,2021-05-16,2021-05-16,1st message,,,,,,,
819,USA,B27,2021-05-16,2022-02-25,1st message,,,,,,,
820,USA,B27,2021-05-16,2021-05-21,2nd message,not interested,,,,,,
821,USA,B27,2021-05-16,2021-08-24,3rd message,,,,,,,
822,USA,B27,2021-05-16,2021-05-16,1st message,,,,,,,
823,USA,B27,2021-05-16,2021-05-16,1st message,,,,,,,
824,USA,B13,2021-05-16,2021-05-16,1st message,,,,,,,
825,USA,B27,2021-05-16,2021-05-16,1st message,,,,,,,
826,USA,B27,2021-05-16,2021-05-16,1st message,,,,,,,
827,USA,B27,2021-05-16,2021-05-16,1st message,,,,,,,
829,USA,B27,2021-05-14,2021-08-24,3rd message,,,,,,,
830,USA,B27,2021-05-14,2021-05-17,2nd message,not interested,,,,,,
831,Canada,B1,2021-05-14,2021-05-14,1st message,,,,,,,
832,Canada,,2021-05-14,2021-05-14,1st message,,,,,,,
833,Canada,B1,2021-05-14,2021-05-14,1st message,,,,,,,
834,USA,B27,2021-05-14,2021-09-16,2nd message,,,,,,,
835,USA,B27,2021-05-14,2021-09-16,1st message,,,,,,,
836,USA,B27,2021-05-14,2021-09-16,1st message,not interested,,,,,,
837,USA,B27,2021-05-14,2021-09-16,1st message,,,,,,,
838,USA,B27,2021-05-14,2021-09-16,1st message,,,,,,,
839,USA,B27,2021-05-14,2021-09-16,1st message,,,,,,,
840,USA,B27,2021-05-14,2021-05-14,1st message,not interested,,,,,,
841,USA,B27,2021-05-14,2021-05-14,2nd message,interested,2021-05-22,,,2021-05-22,,
842,USA,B27,2021-05-14,2021-09-18,1st message,,,,,,,
843,USA,B27,2021-05-14,2021-05-14,2nd message,not interested,,,,,,
844,USA,B27,2021-05-14,2022-02-01,2nd message,,,,,,,
845,USA,B27,2021-05-14,2021-09-18,1st message,,,,,,,
846,USA,B27,2021-05-14,2021-05-14,1st message,not interested,,,,,,
847,USA,B27,2021-05-14,2021-09-18,1st message,,,,,,,
848,USA,B27,2021-05-14,2021-05-14,1st message,not interested,,,,,,
849,USA,B27,2021-05-14,2021-09-18,1st message,,,,,,,
850,USA,B27,2021-05-14,2021-09-18,2nd message,,,,,,,
851,USA,B27,2021-05-14,2021-09-18,1st message,,,,,,,
852,USA,B27,2021-05-14,2021-09-18,1st message,,,,,,,
853,USA,B27,2021-05-14,2021-05-14,1st message,not interested,,,,,,
854,USA,B27,2021-05-12,2021-09-14,1st message,,,,,,,
855,USA,B27,2021-05-12,2021-09-14,1st message,,,,,,,
856,USA,B27,2021-05-12,2021-09-14,1st message,,,,,,,
857,USA,B27,2021-05-12,2021-05-12,1st message,not interested,,,,,,
858,USA,B27,2021-05-12,2021-05-12,1st message,not interested,,,,,,
859,USA,B27,2021-05-12,2021-09-14,1st message,,,,,,,
860,USA,B27,2021-05-12,2021-05-12,1st message,not interested,,,,,,
861,USA,B27,2021-05-12,2021-09-18,1st message,not interested,,,,,,
862,USA,B27,2021-05-12,2021-09-18,1st message,,,,,,,
